Reference	Genotype	Phenotype
YP_608682	multidrug__mexD	multidrug
YP_621023	multidrug__amrB	multidrug
YP_622885	multidrug__opcM	multidrug
YP_637442	aminoglycoside__aac(2)-I	aminoglycoside
YP_668451	multidrug__acrB	multidrug
YP_668774	multidrug__mdfA	multidrug
YP_670193	polymyxin__arnA	polymyxin
YP_671782	multidrug__mdtL	multidrug
YP_672169	multidrug__mdtO	multidrug
YP_672170	multidrug__mdtN	multidrug
YP_672241	beta-lactam__class C beta-lactamase	beta-lactam
YP_688009	multidrug__acrB	multidrug
YP_688010	multidrug__acrA	multidrug
YP_688360	multidrug__mdfA	multidrug
YP_689681	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_691296	multidrug__mdtF	multidrug
YP_691420	multidrug__mdtN	multidrug
YP_691421	multidrug__mdtO	multidrug
YP_695835	bacitracin__bacA	bacitracin
YP_698526	bacitracin__bacA	bacitracin
YP_746446	bacitracin__bacA	bacitracin
YP_758631	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
YP_773413	multidrug__amrB	multidrug
YP_776581	multidrug__opcM	multidrug
YP_776582	multidrug__ceoB	multidrug
YP_776583	multidrug__mexE	multidrug
YP_788911	multidrug__opmD	multidrug
YP_788912	multidrug__mexI	multidrug
YP_788913	multidrug__mexH	multidrug
YP_789012	beta-lactam__class C beta-lactamase	beta-lactam
YP_790742	multidrug__oprN	multidrug
YP_791220	multidrug__mexX	multidrug
YP_791221	multidrug__mexY	multidrug
YP_791281	bacitracin__bacA	bacitracin
YP_792720	multidrug__mexW	multidrug
YP_793056	multidrug__oprJ	multidrug
YP_793057	multidrug__mexD	multidrug
YP_808159	multidrug__major_facilitator_superfamily_transporter	multidrug
YP_838977	multidrug__ceoB	multidrug
YP_852164	multidrug__mdtH	multidrug
YP_853293	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
YP_854844	multidrug__TolC	multidrug
YP_855286	beta-lactam__metallo-beta-lactamase	beta-lactam
YP_857635	beta-lactam__class C beta-lactamase	beta-lactam
YP_859120	multidrug__mdtF	multidrug
YP_859822	beta-lactam__class C beta-lactamase	beta-lactam
YP_878662	bacitracin__bacA	bacitracin
YP_894098	bacitracin__bacA	bacitracin
YP_905232	aminoglycoside__aac(2)-I	aminoglycoside
YP_932216	bacitracin__bacA	bacitracin
YP_966872	bacitracin__bacA	bacitracin
YP_970399	bacitracin__bacA	bacitracin
YP_981592	bacitracin__bacA	bacitracin
YP_985461	bacitracin__bacA	bacitracin
YP_992987	multidrug__amrB	multidrug
YP_992988	multidrug__mexX	multidrug
YP_997055	bacitracin__bacA	bacitracin
Z12001.1.gene1.p1	chloramphenicol__chloramphenicol exporter	chloramphenicol
Z21523.gene.p01	tetracycline__tetQ	tetracycline
Z22590.1.gene1.p01	beta-lactam__OXA-11	beta-lactam
Z28968.gene.p01	beta-lactam__SME-1	beta-lactam
Z33413.1.gene3.p01	fosfomycin__fosC	fosfomycin
Z49084.1.gene1.p01	beta-lactam__OXY-2	beta-lactam
Z54241.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
ZP_00051658	bacitracin__bacA	bacitracin
ZP_00155442	beta-lactam__PBP-1A	beta-lactam
ZP_00156276	beta-lactam__PBP-1A	beta-lactam
ZP_00235180	fosfomycin__fosX	fosfomycin
ZP_00742443	bacitracin__bacA	bacitracin
ZP_00946143	multidrug__mexC	multidrug
ZP_00990220	tetracycline__tet34	tetracycline
ZP_01072284	tetracycline__tetM	tetracycline
ZP_01172195	fosfomycin__fosB	fosfomycin
ZP_01172287	bacitracin__bacA	bacitracin
ZP_01259020	multidrug__mdtK	multidrug
ZP_01438526	bacitracin__bacA	bacitracin
ZP_01722744	fosfomycin__fosB	fosfomycin
ZP_01723236	bacitracin__bacA	bacitracin
ZP_01769103	multidrug__amrB	multidrug
ZP_01788419	beta-lactam__PBP-1A	beta-lactam
ZP_01813310	tetracycline__tet34	tetracycline
ZP_01819864	multidrug__multidrug_transporter	multidrug
ZP_01834487	beta-lactam__PBP-2X	beta-lactam
ZP_01950974	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
ZP_01974653	aminoglycoside__aadA	aminoglycoside
ZP_02007607	bacitracin__bacA	bacitracin
ZP_02108902	multidrug__oprA	multidrug
ZP_02194849	multidrug__mdtK	multidrug
ZP_02197344	tetracycline__tet34	tetracycline
ZP_02213597	beta-lactam__class A beta-lactamase	beta-lactam
ZP_02344185	multidrug__mdfA	multidrug
ZP_02344978	multidrug__mdtM	multidrug
ZP_02345654	multidrug__TolC	multidrug
ZP_02346204	beta-lactam__penA	beta-lactam
ZP_02346647	multidrug__acrB	multidrug
ZP_02357856	multidrug__mexE	multidrug
ZP_02357857	multidrug__bpeF	multidrug
ZP_02360222	multidrug__amrB	multidrug
ZP_02365020	multidrug__mexE	multidrug
ZP_02367088	multidrug__amrB	multidrug
ZP_02371789	multidrug__ceoB	multidrug
ZP_02371790	multidrug__mexE	multidrug
ZP_02374815	multidrug__amrB	multidrug
ZP_02377226	multidrug__mexE	multidrug
ZP_02405550	multidrug__bpeF	multidrug
ZP_02414083	multidrug__mexE	multidrug
ZP_02463551	multidrug__mexX	multidrug
ZP_02465588	multidrug__mexE	multidrug
ZP_02465589	multidrug__bpeF	multidrug
ZP_02508655	multidrug__mexE	multidrug
ZP_02511926	tetracycline__tetM	tetracycline
ZP_02571364	multidrug__TolC	multidrug
ZP_02573259	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_02621059	bacitracin__bacA	bacitracin
ZP_02631430	bacitracin__bacA	bacitracin
ZP_02632674	tetracycline__tetP	tetracycline
ZP_02632675	tetracycline__tetA	tetracycline
ZP_02635322	bacitracin__bacA	bacitracin
ZP_02643483	bacitracin__bacA	bacitracin
ZP_02656523	multidrug__acrA	multidrug
ZP_02656843	multidrug__TolC	multidrug
ZP_02659083	beta-lactam__penA	beta-lactam
ZP_02662290	multidrug__mdtG	multidrug
ZP_02665869	multidrug__mdtK	multidrug
ZP_02681785	beta-lactam__penA	beta-lactam
ZP_02684554	multidrug__acrB	multidrug
ZP_02685546	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_02685589	multidrug__mdfA	multidrug
ZP_02685717	multidrug__mdtK	multidrug
ZP_02686031	multidrug__mdtG	multidrug
ZP_02696486	beta-lactam__penA	beta-lactam
ZP_02698269	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
ZP_02698483	multidrug__mdtM	multidrug
ZP_02700344	multidrug__multidrug_transporter	multidrug
ZP_02700942	multidrug__mdtG	multidrug
ZP_02707994	multidrug__mdtG	multidrug
ZP_02709163	beta-lactam__PBP-2X	beta-lactam
ZP_02721571	multidrug__mdtG	multidrug
ZP_02722595	beta-lactam__PBP-2X	beta-lactam
ZP_02775049	multidrug__mdfA	multidrug
ZP_02779032	bacitracin__bacA	bacitracin
ZP_02784870	multidrug__emrD	multidrug
ZP_02827405	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
ZP_02831928	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_02834606	multidrug__mdtH	multidrug
ZP_02846059	bacitracin__bacA	bacitracin
ZP_02848503	vancomycin__vanB	vancomycin
ZP_02863325	tetracycline__tetA	tetracycline
ZP_02865688	bacitracin__bacA	bacitracin
ZP_02884769	bacitracin__bacA	bacitracin
ZP_02889082	multidrug__opcM	multidrug
ZP_02889083	multidrug__ceoB	multidrug
ZP_02889084	multidrug__mexE	multidrug
ZP_02892568	multidrug__amrB	multidrug
ZP_02900713	bacitracin__bacA	bacitracin
ZP_02900740	multidrug__TolC	multidrug
ZP_02901198	multidrug__mdtE	multidrug
ZP_02901234	multidrug__mdtL	multidrug
ZP_02901431	multidrug__emrD	multidrug
ZP_02901439	multidrug__mdtF	multidrug
ZP_02901634	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
ZP_02901868	polymyxin__arnA	polymyxin
ZP_02902278	multidrug__acrA	multidrug
ZP_02902384	multidrug__acrB	multidrug
ZP_02902573	multidrug__mdtH	multidrug
ZP_02902679	multidrug__mdtG	multidrug
ZP_02902942	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
ZP_02903251	multidrug__mdtK	multidrug
ZP_02903427	multidrug__mdfA	multidrug
ZP_02903696	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_02904358	multidrug__mdtP	multidrug
ZP_02904979	multidrug__opcM	multidrug
ZP_02904980	multidrug__ceoB	multidrug
ZP_02904981	multidrug__mexE	multidrug
ZP_02909221	multidrug__amrB	multidrug
ZP_02913367	bacitracin__bacA	bacitracin
ZP_02952732	tetracycline__tetP	tetracycline
ZP_03000297	multidrug__mdtL	multidrug
ZP_03000572	multidrug__mdtK	multidrug
ZP_03002230	multidrug__mdtM	multidrug
ZP_03002663	multidrug__mdtO	multidrug
ZP_03002705	multidrug__mdtN	multidrug
ZP_03003660	multidrug__mdfA	multidrug
ZP_03003683	multidrug__mdtG	multidrug
ZP_03003738	multidrug__TolC	multidrug
ZP_03003741	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03027239	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
ZP_03027991	multidrug__mdfA	multidrug
ZP_03028124	aminoglycoside__aadA	aminoglycoside
ZP_03028356	polymyxin__arnA	polymyxin
ZP_03029343	multidrug__TolC	multidrug
ZP_03029420	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03030251	multidrug__mdtH	multidrug
ZP_03030545	multidrug__mdtO	multidrug
ZP_03030547	multidrug__mdtN	multidrug
ZP_03030551	multidrug__mdtP	multidrug
ZP_03030716	multidrug__mdtM	multidrug
ZP_03030905	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
ZP_03031860	multidrug__mdtL	multidrug
ZP_03032068	multidrug__mdtF	multidrug
ZP_03033545	multidrug__mdtP	multidrug
ZP_03033664	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03034063	multidrug__TolC	multidrug
ZP_03034990	multidrug__mdtK	multidrug
ZP_03041010	fosfomycin__fosB	fosfomycin
ZP_03041263	bacitracin__bacA	bacitracin
ZP_03042915	multidrug__mdtF	multidrug
ZP_03043001	multidrug__mdtE	multidrug
ZP_03043238	multidrug__TolC	multidrug
ZP_03044758	multidrug__mdtM	multidrug
ZP_03044893	multidrug__mdtL	multidrug
ZP_03045710	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03048355	multidrug__TolC	multidrug
ZP_03048536	multidrug__emrE	multidrug
ZP_03048876	multidrug__mdtP	multidrug
ZP_03049119	polymyxin__arnA	polymyxin
ZP_03050303	multidrug__mdfA	multidrug
ZP_03050421	multidrug__mdtH	multidrug
ZP_03051054	multidrug__mdtM	multidrug
ZP_03052661	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03053667	multidrug__major_facilitator_superfamily_transporter	multidrug
ZP_03054084	bacitracin__bacA	bacitracin
ZP_03059695	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
ZP_03060956	multidrug__mdtH	multidrug
ZP_03063004	aminoglycoside__aadA	aminoglycoside
ZP_03063399	multidrug__mdtL	multidrug
ZP_03063464	multidrug__emrD	multidrug
ZP_03063547	multidrug__mdtF	multidrug
ZP_03064089	bacitracin__bacA	bacitracin
ZP_03064101	multidrug__TolC	multidrug
ZP_03064513	multidrug__mdtO	multidrug
ZP_03064581	multidrug__mdtN	multidrug
ZP_03064700	multidrug__mdtH	multidrug
ZP_03064983	multidrug__acrA	multidrug
ZP_03065057	multidrug__acrB	multidrug
ZP_03065389	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03065589	polymyxin__arnA	polymyxin
ZP_03066488	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
ZP_03067876	multidrug__mdtF	multidrug
ZP_03069403	multidrug__mdtO	multidrug
ZP_03072121	multidrug__mdtK	multidrug
ZP_03074747	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_03075977	polymyxin__arnA	polymyxin
ZP_03078078	multidrug__emrD	multidrug
ZP_03079543	tetracycline__tetM	tetracycline
ZP_03099548	vancomycin__vanR	vancomycin
ZP_03102911	beta-lactam__class A beta-lactamase	beta-lactam
ZP_03105209	vancomycin__vanR	vancomycin
ZP_03105677	beta-lactam__class A beta-lactamase	beta-lactam
ZP_03149247	bacitracin__bacA	bacitracin
ZP_03163985	multidrug__acrA	multidrug
ZP_03164918	beta-lactam__penA	beta-lactam
ZP_03215830	multidrug__emrD	multidrug
ZP_03217990	multidrug__mdtM	multidrug
ZP_03221593	multidrug__mdtG	multidrug
ZP_03222019	multidrug__acrB	multidrug
ZP_03223548	tetracycline__tetO	tetracycline
ZP_03224561	aminoglycoside__aph(3)-I	aminoglycoside
ZP_03225116	bacitracin__bacA	bacitracin
ZP_03227726	fosfomycin__fosB	fosfomycin
ZP_03229684	beta-lactam__class A beta-lactamase	beta-lactam
ZP_03232649	beta-lactam__class A beta-lactamase	beta-lactam
ZP_03232999	fosfomycin__fosB	fosfomycin
ZP_03233797	vancomycin__vanS	vancomycin
ZP_03265942	bacitracin__bacA	bacitracin
ZP_03345948	multidrug__mdtH	multidrug
ZP_03347409	multidrug__emrD	multidrug
ZP_03359886	multidrug__acrA	multidrug
ZP_03381912	bacitracin__bacA	bacitracin
ZP_03412557	bacitracin__bacA	bacitracin
ZP_03452771	multidrug__oprA	multidrug
ZP_03453095	multidrug__amrB	multidrug
ZP_03466816	bacitracin__bacA	bacitracin
ZP_03541894	bacitracin__bacA	bacitracin
ZP_03552050	bacitracin__bacA	bacitracin
ZP_03555962	bacitracin__bacA	bacitracin
ZP_03561873	tetracycline__tetB	tetracycline
ZP_03564086	bacitracin__bacA	bacitracin
ZP_03573944	multidrug__ceoB	multidrug
ZP_03573945	multidrug__opcM	multidrug
ZP_03577554	multidrug__amrB	multidrug
ZP_03583211	multidrug__opcM	multidrug
ZP_03585936	multidrug__amrB	multidrug
ZP_03589930	macrolide-lincosamide-streptogramin__lmrB	macrolide-lincosamide-streptogramin
ZP_03589973	unclassified__tmrB	unclassified
ZP_03592168	multidrug__multidrug_transporter	multidrug
ZP_03593907	tetracycline__tetL	tetracycline
ZP_03612802	bacitracin__bacA	bacitracin
ZP_03612813	multidrug__major_facilitator_superfamily_transporter	multidrug
ZP_03614478	beta-lactam__class A beta-lactamase	beta-lactam
ZP_03624201	tetracycline__tetO	tetracycline
ZP_03790349	multidrug__oprC	multidrug
ZP_03822933	aminoglycoside__aac(6)-I	aminoglycoside
ZP_03823621	multidrug__multidrug_transporter	multidrug
ZP_03823622	multidrug__adeB	multidrug
ZP_03829223	bacitracin__bacA	bacitracin
ZP_03832747	multidrug__acrB	multidrug
ZP_03833009	bacitracin__bacA	bacitracin
ZP_03841721	tetracycline__tetJ	tetracycline
ZP_03903435	bacitracin__bacA	bacitracin
ZP_03915077	tetracycline__tetM	tetracycline
ZP_03916453	bacitracin__bacA	bacitracin
ZP_03917649	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
ZP_03917780	tetracycline__tetM	tetracycline
ZP_03923764	tetracycline__tetO	tetracycline
ZP_03930663	bacitracin__bacA	bacitracin
ZP_03938934	bacitracin__bacA	bacitracin
ZP_03941859	bacitracin__bacA	bacitracin
ZP_03945515	bacitracin__bacA	bacitracin
ZP_03947551	vancomycin__vanW	vancomycin
ZP_03947553	vancomycin__vanB	vancomycin
ZP_03948381	multidrug__major_facilitator_superfamily_transporter	multidrug
ZP_03949543	macrolide-lincosamide-streptogramin__lsa	macrolide-lincosamide-streptogramin
ZP_03949893	bacitracin__bacA	bacitracin
ZP_03958019	bacitracin__bacA	bacitracin
ZP_03982909	multidrug__major_facilitator_superfamily_transporter	multidrug
ZP_03984017	bacitracin__bacA	bacitracin
ZP_03984253	macrolide-lincosamide-streptogramin__lsa	macrolide-lincosamide-streptogramin
ZP_03984378	tetracycline__tetM	tetracycline
ZP_03986195	multidrug__mepA	multidrug
ZP_03986393	tetracycline__tetB	tetracycline
ZP_03989103	tetracycline__tetracycline_resistance_protein	tetracycline
ZP_03993170	tetracycline__tetM	tetracycline
ZP_04001477	multidrug__mdtE	multidrug
ZP_04001960	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
ZP_04003442	multidrug__emrE	multidrug
ZP_04004395	multidrug__mdtG	multidrug
ZP_04004609	beta-lactam__class C beta-lactamase	beta-lactam
ZP_04005119	polymyxin__arnA	polymyxin
ZP_04049838	bacitracin__bacA	bacitracin
ZP_04055482	macrolide-lincosamide-streptogramin__ermF	macrolide-lincosamide-streptogramin
ZP_04055725	bacitracin__bacA	bacitracin
ZP_04060511	bacitracin__bacA	bacitracin
ZP_04060517	multidrug__norA	multidrug
ZP_04064024	fosfomycin__fosB	fosfomycin
ZP_04064297	bacitracin__bacA	bacitracin
ZP_04065292	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04070977	bacitracin__bacA	bacitracin
ZP_04072103	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04073068	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04079630	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04081918	bacitracin__bcrA	bacitracin
ZP_04083542	bacitracin__bacA	bacitracin
ZP_04084549	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04090195	fosfomycin__fosB	fosfomycin
ZP_04091529	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04096221	fosfomycin__fosB	fosfomycin
ZP_04096643	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04097561	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04102233	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04103077	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04107441	bacitracin__bacA	bacitracin
ZP_04109362	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04113961	bacitracin__bacA	bacitracin
ZP_04114929	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04115750	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04120479	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04121322	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04144736	bacitracin__bacA	bacitracin
ZP_04145743	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04146665	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04150458	bacitracin__bacA	bacitracin
ZP_04151022	fosfomycin__fosB	fosfomycin
ZP_04156234	bacitracin__bacA	bacitracin
ZP_04167983	bacitracin__bacA	bacitracin
ZP_04168559	fosfomycin__fosB	fosfomycin
ZP_04168943	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04173668	bacitracin__bacA	bacitracin
ZP_04174269	fosfomycin__fosB	fosfomycin
ZP_04174725	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04175489	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04185253	bacitracin__bacA	bacitracin
ZP_04187115	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04191906	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04192734	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04196507	bacitracin__bacA	bacitracin
ZP_04197552	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04198378	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04200496	fosfomycin__fosB	fosfomycin
ZP_04202328	bacitracin__bacA	bacitracin
ZP_04203285	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04204110	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04207693	bacitracin__bacA	bacitracin
ZP_04209720	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04210257	bacitracin__bacA	bacitracin
ZP_04212238	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04213166	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04216757	bacitracin__bacA	bacitracin
ZP_04217288	fosfomycin__fosB	fosfomycin
ZP_04220669	bacitracin__bacA	bacitracin
ZP_04223576	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04226949	bacitracin__bacA	bacitracin
ZP_04227541	fosfomycin__fosB	fosfomycin
ZP_04228022	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04228847	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04232797	bacitracin__bacA	bacitracin
ZP_04233366	fosfomycin__fosB	fosfomycin
ZP_04233793	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04234658	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04239522	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04240432	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04244950	fosfomycin__fosB	fosfomycin
ZP_04252176	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04261748	fosfomycin__fosB	fosfomycin
ZP_04262238	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04263080	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04268622	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04271500	bacitracin__bacA	bacitracin
ZP_04273511	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04276394	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04277914	bacitracin__bacA	bacitracin
ZP_04278944	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04279826	beta-lactam__class A beta-lactamase	beta-lactam
ZP_04283753	fosfomycin__fosB	fosfomycin
ZP_04284182	beta-lactam__class A beta-lactamase	beta-lactam
